range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
37590, 2, 14787.5, 20902.8, 2, 18895, 26448.6, 2310, 840, 960
29561, 2, 14787.5, 20902.8, 2, 2441, 2743.57, 2250, 860, 940
64485, 2, 14787.5, 20902.8, 8, 29795.9, 31827.7, 2290, 1530, 940
48542, 2, 14787.5, 20902.8, 2, 24489, 34026, 2170, 850, 940
29561, 2, 14787.5, 20902.8, 2, 9953, 13361.5, 2210, 870, 960
50927, 2, 14787.5, 20902.8, 2, 25491, 35981.8, 2180, 850, 940
63967, 2, 14787.5, 20902.8, 4, 18818, 30559.9, 2240, 1360, 910
64341, 2, 14787.5, 20902.8, 152, 16124, 20846.9, 2480, 6490, 1020
29561, 2, 14787.5, 20902.8, 2, 12642, 17164.3, 2240, 880, 940
62983, 2, 14787.5, 20902.8, 26, 11665.5, 15742.8, 2310, 2230, 920
53618, 2, 14787.5, 20902.8, 2, 26905, 37787.8, 2200, 850, 950
52106, 2, 14787.5, 20902.8, 2, 26260.5, 36561, 2190, 850, 940
36546, 2, 14787.5, 20902.8, 2, 18324, 25779.7, 2190, 840, 940
65194, 2, 14787.5, 20902.8, 152, 16976.6, 21472.8, 2550, 6480, 910
29561, 2, 14787.5, 20902.8, 6, 14826.3, 16002.6, 2310, 1430, 1010
57896, 2, 14787.5, 20902.8, 2, 29058, 40793, 2230, 840, 940
31598, 2, 14787.5, 20902.8, 2, 16007, 22058.9, 2230, 840, 940
57444, 2, 14787.5, 20902.8, 2, 28750.5, 40588.6, 2230, 840, 950
61478, 2, 14787.5, 20902.8, 8, 20060.1, 27492.4, 2270, 1530, 940
65305, 2, 14787.5, 20902.8, 24, 12957.8, 19551.8, 2310, 2160, 1040
29561, 2, 14787.5, 20902.8, 4, 8799.25, 9579.68, 2260, 1420, 970
64881, 2, 14787.5, 20902.8, 4, 27471.8, 32460.8, 2320, 1370, 960
54739, 2, 14787.5, 20902.8, 4, 27397.2, 31577.9, 2320, 1260, 960
29561, 2, 14787.5, 20902.8, 6, 9969.83, 10880.1, 2210, 1420, 980
50420, 2, 14787.5, 20902.8, 40, 17552.9, 20499.8, 2420, 3080, 960
39965, 2, 14787.5, 20902.8, 2, 20015.5, 28222.8, 2220, 850, 940
29561, 2, 14787.5, 20902.8, 2, 2851, 3378.56, 2220, 860, 930
38077, 2, 14787.5, 20902.8, 8, 8262.62, 13012.3, 2320, 1500, 980
45023, 2, 14787.5, 20902.8, 6, 12236.5, 17270.3, 2280, 1420, 1000
29561, 2, 14787.5, 20902.8, 2, 14165.5, 19962.3, 2260, 860, 930
38328, 2, 14787.5, 20902.8, 2, 19377.5, 26810, 2220, 860, 930
63838, 2, 14787.5, 20902.8, 152, 16012.1, 20728.7, 2520, 6610, 970
64751, 2, 14787.5, 20902.8, 2, 32376.5, 45785.9, 2240, 850, 950
47600, 2, 14787.5, 20902.8, 6, 14098.5, 19735.4, 2330, 1450, 990
64049, 2, 14787.5, 20902.8, 20, 22542.8, 25655.5, 2380, 1880, 940
29561, 2, 14787.5, 20902.8, 6, 11653, 12718.1, 2250, 1430, 1000
42530, 2, 14787.5, 20902.8, 14, 12512.6, 14813.5, 2220, 1700, 1000
62081, 2, 14787.5, 20902.8, 90, 13617.4, 18471.3, 2510, 4750, 1050
39613, 2, 14787.5, 20902.8, 2, 19832, 27984.5, 2270, 860, 960
61370, 2, 14787.5, 20902.8, 30, 21393.6, 24936.9, 2380, 2270, 920
29561, 2, 14787.5, 20902.8, 6, 9700.33, 11521.6, 2310, 1430, 990
64949, 2, 14787.5, 20902.8, 10, 23822.6, 27136.9, 2370, 1580, 970
29561, 2, 14787.5, 20902.8, 4, 3886, 4430.59, 2300, 1320, 960
61320, 2, 14787.5, 20902.8, 14, 19564.8, 24003.2, 2370, 1680, 930
63820, 2, 14787.5, 20902.8, 34, 17551.3, 20669.4, 2440, 2350, 950
65018, 2, 14787.5, 20902.8, 152, 16461.5, 21107, 2850, 7060, 1080
29561, 2, 14787.5, 20902.8, 2, 2927, 3425.23, 2340, 880, 970
37560, 2, 14787.5, 20902.8, 4, 12570.8, 17508.5, 2250, 1410, 930
43494, 2, 14787.5, 20902.8, 2, 21962, 30460.7, 2230, 870, 940
60778, 2, 14787.5, 20902.8, 2, 30418, 42945.4, 2110, 870, 940
60564, 2, 14787.5, 20902.8, 14, 16238.6, 23123.4, 2280, 1770, 950
48730, 2, 14787.5, 20902.8, 40, 3758.12, 8161.72, 2430, 2650, 930
49762, 2, 14787.5, 20902.8, 4, 24245, 27455.1, 2270, 1350, 940
64120, 2, 14787.5, 20902.8, 8, 18507.9, 22993.2, 2290, 1480, 940
65458, 2, 14787.5, 20902.8, 30, 18407.3, 24807.7, 2350, 2280, 950
57663, 2, 28842, 40768.9, 2, 14787.5, 20902.8, 2280, 850, 960
57656, 2, 28842, 40768.9, 2, 28842, 40768.9, 2250, 840, 980
64156, 2, 28842, 40768.9, 24, 19620.2, 23150.6, 2390, 2370, 1070
65080, 2, 28842, 40768.9, 546, 16033.7, 20633.6, 2670, 20200, 970
57656, 2, 28842, 40768.9, 6, 6690.67, 8233.69, 2320, 1460, 970
57656, 2, 28842, 40768.9, 2, 13220, 18625.2, 2170, 860, 980
57656, 2, 28842, 40768.9, 2, 17350.5, 23886.8, 2160, 850, 930
57656, 2, 28842, 40768.9, 6, 16126.5, 17137.1, 2320, 1510, 970
57656, 2, 28842, 40768.9, 2, 5145, 6564.78, 2220, 840, 940
57656, 2, 28842, 40768.9, 16, 16887.1, 19752.2, 2230, 1830, 1150
57656, 2, 28842, 40768.9, 2, 17820, 24494.2, 2230, 840, 940
65107, 2, 28842, 40768.9, 113, 17563.8, 21861.6, 2570, 1900, 1050
63930, 2, 28842, 40768.9, 152, 16258.9, 20920, 2530, 6750, 950
57656, 2, 28842, 40768.9, 12, 17649.3, 20283.5, 2290, 1620, 1060
61000, 2, 28842, 40768.9, 2, 30554, 43076.9, 2250, 830, 940
60869, 2, 28842, 40768.9, 12, 16798.9, 22341.3, 2340, 1640, 970
65157, 2, 28842, 40768.9, 24, 21626.3, 25527.8, 2410, 2140, 1130
57656, 2, 28842, 40768.9, 2, 27904.5, 38755.8, 2240, 850, 930
57656, 2, 28842, 40768.9, 2, 10994, 15482.8, 2160, 860, 930
57656, 2, 28842, 40768.9, 6, 3367.17, 3711.98, 2320, 1450, 990
64912, 2, 28842, 40768.9, 4, 26436.5, 31950.3, 2260, 1300, 980
65320, 2, 28842, 40768.9, 151, 16865.7, 21283.8, 2560, 1740, 1020
57656, 2, 28842, 40768.9, 4, 4330, 7037.48, 2290, 1340, 960
57656, 2, 28842, 40768.9, 6, 14623.3, 16967.9, 2280, 1440, 1010
62083, 2, 28842, 40768.9, 24, 17164.2, 19884.5, 2360, 2060, 1140
57656, 2, 28842, 40768.9, 2, 20307.5, 28136.5, 2210, 880, 990
57656, 2, 28842, 40768.9, 2, 27614.5, 38717.6, 2280, 870, 940
57656, 2, 28842, 40768.9, 2, 2555.5, 3544.73, 2200, 880, 940
60115, 2, 28842, 40768.9, 6, 29781, 32094.5, 2170, 1530, 950
65500, 2, 28842, 40768.9, 5506, 16259.4, 20751.4, 3150, 191878, 1060
61909, 2, 28842, 40768.9, 16, 28133.2, 29567.1, 2390, 1780, 940
57656, 2, 28842, 40768.9, 2, 9807.5, 13287.2, 2160, 870, 940
57656, 2, 28842, 40768.9, 20, 14666.3, 17260.4, 2400, 1930, 1080
57656, 2, 28842, 40768.9, 2, 10345.5, 14380.4, 2210, 870, 890
