range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed
65534, 197564, 16629.1, 21001.3, 1808, 16738.9, 20964.3, 127749, 12450, 142329
65534, 197564, 16629.1, 21001.3, 147, 16844.6, 20629.8, 112829, 8860, 106259
65534, 197564, 16629.1, 21001.3, 50, 16025.7, 20311, 4399, 4780, 107849
65534, 197564, 16629.1, 21001.3, 47373, 16777.6, 21172.9, 142938, 36460, 2607193
65535, 197564, 16629.1, 21001.3, 1434753, 16577.3, 21012.1, 146919, 1063729, 9636850
65534, 197564, 16629.1, 21001.3, 12983, 16316.4, 20978.8, 135769, 22810, 305426
65534, 197564, 16629.1, 21001.3, 3622, 17637.5, 22304.5, 165198, 11330, 161708
65535, 197564, 16629.1, 21001.3, 136093, 16558.2, 21040.3, 143289, 80870, 4935728
65534, 197564, 16629.1, 21001.3, 6292, 12727.8, 12736, 117328, 1816111, 144839
65534, 197564, 16629.1, 21001.3, 258, 16479.7, 21051.5, 126999, 71339, 110539
65534, 197564, 16629.1, 21001.3, 46454, 16625.6, 21090.5, 138979, 37840, 826631
65534, 197564, 16629.1, 21001.3, 36587, 16791.1, 21268, 136968, 24390, 2642042
65534, 197564, 16629.1, 21001.3, 15771, 16485.1, 20844.7, 153058, 20820, 325027
65534, 197564, 16629.1, 21001.3, 4, 18412.8, 29049.3, 46370, 2690, 100119
65534, 197564, 16629.1, 21001.3, 428, 17726.3, 21761.8, 97239, 7580, 112379
65534, 197564, 16629.1, 21001.3, 278, 16457.8, 20762.6, 185028, 70870, 110818
65534, 197564, 16629.1, 21001.3, 51320, 16586.9, 21018.5, 138619, 45059, 796742
65535, 197564, 16629.1, 21001.3, 203042, 16553.7, 21025.7, 147449, 123168, 5333135
65534, 197564, 16629.1, 21001.3, 103115, 16633.6, 21010.5, 137729, 84019, 1414815
65534, 197564, 16629.1, 21001.3, 108817, 16634.7, 20972.8, 145838, 106569, 1792011
65535, 197564, 16629.1, 21001.3, 81094, 16647.5, 20996, 159218, 66979, 2260437
65535, 197564, 16629.1, 21001.3, 50107, 16606.1, 21016.9, 140949, 46859, 745062
65534, 197564, 16629.1, 21001.3, 167, 16219, 20646, 115719, 5840, 107559
65534, 197564, 16629.1, 21001.3, 687, 16702, 21160.9, 126699, 8600, 134808
65534, 197564, 16629.1, 21001.3, 21962, 16723.7, 21049.4, 134348, 30460, 841321
65535, 197564, 16629.1, 21001.3, 186314, 16654.8, 21062.5, 146548, 136479, 3745771
65534, 197564, 16629.1, 21001.3, 20182, 16794.2, 21204.8, 140699, 30389, 421446
65535, 197564, 16629.1, 21001.3, 188809, 16531.8, 20963, 164578, 128579, 2442085
65534, 197564, 16629.1, 21001.3, 1625, 14074.9, 19068.3, 118079, 10170, 131459
65535, 197564, 16629.1, 21001.3, 186314, 16654.8, 21062.5, 144659, 136499, 3958889
65534, 197564, 16629.1, 21001.3, 423, 16506.3, 21047.6, 127629, 7410, 111889
65534, 197564, 16629.1, 21001.3, 73, 16169.6, 20417.9, 153869, 5079, 103699
65534, 197564, 16629.1, 21001.3, 65746, 16751.1, 21147.2, 158288, 57950, 1822361
