range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
65529, 13256, 16425.4, 20910.7, 11844, 16628.1, 21155.6, 30650, 28690, 302526, 136609
65534, 13256, 16425.4, 20910.7, 17083, 16625.2, 21188.3, 38329, 87019, 346297, 111128
65532, 13256, 16425.4, 20910.7, 29794, 16517.7, 20978, 189618, 41990, 458215, 186158
65535, 13256, 16425.4, 20910.7, 530445, 16886.4, 21253.8, 78730, 94479, 470045, 3266286
65534, 13256, 16425.4, 20910.7, 55919, 16789.3, 21222.2, 60259, 165348, 285447, 348307
65535, 13256, 16425.4, 20910.7, 203042, 16553.7, 21025.7, 110439, 371356, 499665, 583664
65531, 13256, 16425.4, 20910.7, 3394, 19531.3, 22374.8, 252468, 19380, 198068, 94479
65534, 13256, 16425.4, 20910.7, 42800, 16567.8, 21074.9, 303867, 51009, 221578, 312197
65535, 13256, 16425.4, 20910.7, 530445, 16886.4, 21253.8, 78890, 108078, 455716, 3255496
65529, 13256, 16425.4, 20910.7, 14588, 17150.3, 20380.9, 44559, 181529, 331097, 126519
65529, 13256, 16425.4, 20910.7, 451, 17048, 21430.6, 9610, 6840, 13510, 5250
