range, n1 , average1, std1, n2 , average2, std2, skewed_1, skewed_2, non_skewed, vector
41896, 10, 20967, 22080.1, 10, 20967, 22080.1, 2380, 1160, 1160, 1410
42191, 10, 20967, 22080.1, 4, 21096.2, 24358.7, 2160, 910, 1010, 1160
60186, 10, 20967, 22080.1, 48, 22803.3, 22462.6, 2520, 960, 1100, 1340
64710, 10, 20967, 22080.1, 3131, 17175.5, 21213.4, 2520, 1540, 1580, 1630
41901, 10, 20967, 22080.1, 1708, 18065.8, 18056.9, 2640, 24569, 25840, 10810
41899, 10, 20967, 22080.1, 2, 15506, 21904.8, 1910, 800, 840, 1010
64221, 10, 20967, 22080.1, 1082, 18420.3, 22151, 2500, 1100, 1150, 1370
65486, 10, 20967, 22080.1, 13931, 17259.1, 21557.8, 2750, 3610, 3270, 2610
41896, 10, 20967, 22080.1, 158, 11604.5, 11621.3, 2180, 2910, 3190, 2140
42150, 10, 20967, 22080.1, 6, 21094.5, 23086, 2340, 890, 1020, 1160
65510, 10, 20967, 22080.1, 15759, 17704.1, 21846.8, 3140, 6850, 5930, 4180
64683, 10, 20967, 22080.1, 2828, 17470.5, 22168.6, 2560, 1410, 1450, 1460
65535, 10, 20967, 22080.1, 30147, 16968.7, 21371.5, 3060, 6930, 5990, 4330
41897, 10, 20967, 22080.1, 4, 2366, 2710.08, 2210, 840, 1090, 1070
54194, 10, 20967, 22080.1, 2526, 26788.5, 26788, 2260, 900, 1000, 1290
64613, 10, 20967, 22080.1, 3558, 16121.7, 20203.3, 2750, 1700, 1680, 2260
41906, 10, 20967, 22080.1, 1828, 13484.2, 13479.2, 2650, 25830, 20550, 11560
41901, 10, 20967, 22080.1, 2, 18375.5, 25965.7, 1930, 800, 880, 1010
41912, 10, 20967, 22080.1, 6, 13916.8, 16055.7, 2030, 820, 940, 1120
61918, 10, 20967, 22080.1, 673, 18089.7, 21759.2, 1980, 930, 960, 1200
65478, 10, 20967, 22080.1, 2775, 15100.7, 20014.6, 2510, 1540, 1430, 1570
64000, 10, 20967, 22080.1, 531, 14484.9, 20154.1, 2290, 1280, 1240, 4420
41908, 10, 20967, 22080.1, 1958, 5630, 5626.99, 2620, 27979, 21970, 12770
65144, 10, 20967, 22080.1, 1153, 18668.8, 22970, 2350, 940, 1080, 1360
65513, 10, 20967, 22080.1, 10831, 16917.8, 21277.6, 2630, 3370, 3080, 2520
65254, 10, 20967, 22080.1, 2630, 16367.8, 20948.8, 2710, 1230, 1300, 1500
65194, 10, 20967, 22080.1, 369, 16489.4, 21383, 2380, 960, 1070, 3460
41902, 10, 20967, 22080.1, 2, 11127, 15716.2, 2020, 820, 890, 1010
65460, 10, 20967, 22080.1, 4352, 17081.5, 21512.4, 2460, 930, 1050, 1340
65453, 10, 20967, 22080.1, 1111, 18102.4, 21906.4, 2380, 1520, 1560, 1560
65132, 10, 20967, 22080.1, 1791, 16654.7, 21274.7, 2550, 1229, 1290, 1480
62145, 10, 20967, 22080.1, 244, 31057.2, 31106.1, 2130, 910, 980, 1290
41896, 10, 20967, 22080.1, 4, 18881.2, 21779.1, 2189, 920, 930, 1040
60076, 10, 20967, 22080.1, 331, 17467.6, 19172.6, 2470, 1160, 1260, 1510
41896, 10, 20967, 22080.1, 18, 17176.5, 17653.9, 2120, 1070, 1160, 1270
65210, 10, 20967, 22080.1, 1327, 17604.2, 21942.3, 2190, 890, 1040, 9280
65515, 10, 20967, 22080.1, 649, 17414.9, 21580, 2400, 1010, 1110, 1350
41896, 10, 20967, 22080.1, 66, 17103, 17213.9, 2300, 1730, 1850, 1550
41898, 10, 20967, 22080.1, 2, 19653, 27768.1, 2000, 810, 860, 1030
41896, 10, 20967, 22080.1, 12, 19571.8, 20421.1, 2050, 970, 1020, 1250
65351, 10, 20967, 22080.1, 1206, 16944.1, 22084.2, 2710, 1050, 1190, 1410
65421, 10, 20967, 22080.1, 1450, 15187.9, 20049.5, 2320, 960, 1080, 1310
64904, 10, 20967, 22080.1, 318, 18139.8, 22132.5, 2780, 1390, 1460, 1570
64723, 10, 20967, 22080.1, 470, 16596.3, 20712.3, 2390, 1490, 1470, 1570
41911, 10, 20967, 22080.1, 2, 4231, 5976.47, 2010, 810, 880, 1020
65227, 10, 20967, 22080.1, 2776, 15985.1, 20554, 2530, 1550, 1580, 1650
41914, 10, 20967, 22080.1, 1750, 18571, 18575.2, 2490, 24350, 19720, 23579
