range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,fastest_algo
57664,2,28842,40768.9,10,7328.3,10251.9,43,44,28,non_skewed
57656,2,28842,40768.9,2,28627,40145.3,27,32,18,non_skewed
58280,2,28842,40768.9,52,13583.5,18181.2,39,105,47,skewed_1
65444,2,28842,40768.9,376,15393.5,20841.6,73,683,51,non_skewed
57656,2,28842,40768.9,2,19715.5,27819.7,28,23,18,non_skewed
57656,2,28842,40768.9,2,25992.5,36691.1,25,24,19,non_skewed
64016,2,28842,40768.9,48,19538.6,24859.6,36,116,26,non_skewed
57656,2,28842,40768.9,14,22447.1,22772.7,42,63,30,non_skewed
57656,2,28842,40768.9,2,2944.5,3574.42,23,24,19,non_skewed
57656,2,28842,40768.9,2,24603,34731.7,23,24,19,non_skewed
57656,2,28842,40768.9,2,25876,35823.4,35,24,19,non_skewed
57665,2,28842,40768.9,2,24116,34098.1,27,25,31,skewed_2
62803,2,28842,40768.9,12,23992.4,28915.4,42,82,27,non_skewed
65009,2,28842,40768.9,4,28117.5,33202.7,37,26,26,skewed_2
57656,2,28842,40768.9,4,13613.8,19078.7,28,30,18,non_skewed
57656,2,28842,40768.9,8,26138.8,27441.4,29,41,27,non_skewed
63502,2,28842,40768.9,8,16757.4,26418.2,31,54,31,skewed_1
63204,2,28842,40768.9,10,28085,29750.7,51,68,25,non_skewed
57656,2,28842,40768.9,4,18266.5,21143.2,29,29,19,non_skewed
57656,2,28842,40768.9,2,26942,37397.5,25,25,19,non_skewed
57656,2,28842,40768.9,10,11037.3,15604.5,43,45,28,non_skewed
64985,2,28842,40768.9,134,18069.7,23894.1,72,300,26,non_skewed
57656,2,28842,40768.9,2,24203,33521.1,27,24,18,non_skewed
62342,2,28842,40768.9,165,15772.3,19433.2,69,82,41,non_skewed
57656,2,28842,40768.9,10,6738.3,7863.47,30,43,27,non_skewed
62543,2,28842,40768.9,14,27301,28592.5,42,83,25,non_skewed
57656,2,28842,40768.9,4,4814.75,5706.13,29,26,19,non_skewed
57656,2,28842,40768.9,8,20265.6,21537.7,41,30,27,non_skewed
62355,2,28842,40768.9,98,19656.7,22936.5,42,206,32,non_skewed
57656,2,28842,40768.9,2,9608,13524.1,23,25,19,non_skewed
57656,2,28842,40768.9,10,11839.2,12585.9,33,32,28,non_skewed
57663,2,28842,40768.9,8,15565,25981.7,29,52,31,skewed_1
57656,2,28842,40768.9,2,22850,32242.7,24,24,20,non_skewed
57656,2,28842,40768.9,2,5142.5,6562.66,25,23,19,non_skewed
62200,2,28842,40768.9,100,16712,23130,51,204,29,non_skewed
57656,2,28842,40768.9,2,12095,17035.6,24,24,19,non_skewed
57656,2,28842,40768.9,2,23631,33062.9,24,24,19,non_skewed
57656,2,28842,40768.9,2,9323.5,12471.2,28,24,19,non_skewed
60787,2,28842,40768.9,2,30421.5,42963.1,32,25,24,non_skewed
57656,2,28842,40768.9,2,19431,26937.9,28,24,19,non_skewed
64978,2,28842,40768.9,8,18478.4,24503.9,28,72,25,non_skewed
60687,2,28842,40768.9,110,19275.3,23652.8,57,240,33,non_skewed
57656,2,28842,40768.9,2,22124,31160.8,29,25,19,non_skewed
57656,2,28842,40768.9,8,23647.2,26339.2,32,30,26,non_skewed
57656,2,28842,40768.9,8,11160.8,19451.1,29,31,21,non_skewed
57656,2,28842,40768.9,2,5764,7437.35,28,23,19,non_skewed
57656,2,28842,40768.9,2,21726.5,30013.1,33,24,18,non_skewed
57656,2,28842,40768.9,2,28348.5,40018.7,27,24,19,non_skewed
57656,2,28842,40768.9,2,9225.5,12981.8,26,23,18,non_skewed
65521,2,28842,40768.9,58,11433.4,20328.5,64,155,41,non_skewed
57656,2,28842,40768.9,12,15224.9,19409.6,32,49,34,skewed_1
57656,2,28842,40768.9,6,11455.7,12981.6,31,42,19,non_skewed
57656,2,28842,40768.9,4,17728.5,22310.9,30,26,20,non_skewed
59905,2,28842,40768.9,2,30076,42204.4,32,24,26,skewed_2
57656,2,28842,40768.9,12,4284.08,7633.48,36,60,31,non_skewed
