range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
41897,10,20967,22080.1,4,2366,2710.08,62,43,37,38,non_skewed
54194,10,20967,22080.1,2526,26788.5,26788,50,41,41,43,skewed_2
64613,10,20967,22080.1,3558,16121.7,20203.3,79,65,66,80,skewed_2
41906,10,20967,22080.1,1828,13484.2,13479.2,48,865,452,313,skewed_1
41901,10,20967,22080.1,2,18375.5,25965.7,43,25,24,36,non_skewed
41912,10,20967,22080.1,6,13916.8,16055.7,40,31,29,45,non_skewed
61918,10,20967,22080.1,673,18089.7,21759.2,52,49,39,42,non_skewed
65478,10,20967,22080.1,2775,15100.7,20014.6,83,51,51,59,skewed_2
64000,10,20967,22080.1,531,14484.9,20154.1,59,44,41,122,non_skewed
41908,10,20967,22080.1,1958,5630,5626.99,44,920,487,346,skewed_1
65144,10,20967,22080.1,1153,18668.8,22970,48,44,50,47,skewed_2
65513,10,20967,22080.1,10831,16917.8,21277.6,105,121,94,79,vector
65254,10,20967,22080.1,2630,16367.8,20948.8,63,40,45,45,skewed_2
65194,10,20967,22080.1,369,16489.4,21383,54,39,45,104,skewed_2
41902,10,20967,22080.1,2,11127,15716.2,40,30,23,26,non_skewed
65460,10,20967,22080.1,4352,17081.5,21512.4,58,31,43,42,skewed_2
65453,10,20967,22080.1,1111,18102.4,21906.4,41,53,59,50,skewed_1
65132,10,20967,22080.1,1791,16654.7,21274.7,58,46,43,50,non_skewed
62145,10,20967,22080.1,244,31057.2,31106.1,42,39,33,42,non_skewed
41896,10,20967,22080.1,4,18881.2,21779.1,46,45,42,38,vector
60076,10,20967,22080.1,331,17467.6,19172.6,52,38,49,46,skewed_2
41896,10,20967,22080.1,18,17176.5,17653.9,61,56,50,55,non_skewed
65210,10,20967,22080.1,1327,17604.2,21942.3,47,46,40,237,non_skewed
65515,10,20967,22080.1,649,17414.9,21580,63,33,45,42,skewed_2
41896,10,20967,22080.1,66,17103,17213.9,52,66,63,52,skewed_1
41898,10,20967,22080.1,2,19653,27768.1,35,26,31,32,skewed_2
41896,10,20967,22080.1,12,19571.8,20421.1,42,47,47,51,skewed_1
65351,10,20967,22080.1,1206,16944.1,22084.2,74,43,45,45,skewed_2
65421,10,20967,22080.1,1450,15187.9,20049.5,50,32,41,35,skewed_2
64904,10,20967,22080.1,318,18139.8,22132.5,93,53,67,56,skewed_2
64723,10,20967,22080.1,470,16596.3,20712.3,80,47,53,62,skewed_2
41911,10,20967,22080.1,2,4231,5976.47,33,20,19,20,non_skewed
65227,10,20967,22080.1,2776,15985.1,20554,63,50,55,48,vector
41914,10,20967,22080.1,1750,18571,18575.2,46,832,443,293,skewed_1
41900,10,20967,22080.1,8,16100.6,17419.8,54,42,27,35,non_skewed
42329,10,20967,22080.1,6,21184,23184,51,46,40,58,non_skewed
63522,10,20967,22080.1,841,14720.3,19586.5,40,49,47,41,skewed_1
41897,10,20967,22080.1,40,91.25,73.2868,60,48,49,36,vector
65407,10,20967,22080.1,13262,16462.5,21056.7,76,138,97,85,skewed_1
41897,10,20967,22080.1,2,2941.5,4133.04,36,21,19,20,non_skewed
64846,10,20967,22080.1,4657,16038.5,20258.9,136,107,87,70,vector
64509,10,20967,22080.1,512,17614.8,21392,69,60,63,59,vector
65025,10,20967,22080.1,64,17643.7,23184.5,55,46,34,44,non_skewed
41900,10,20967,22080.1,1948,701.25,713.693,52,913,484,326,skewed_1
