range,n1,average1,std1,n2,average2,std2,skewed_1,skewed_2,non_skewed,vector,fastest_algo
65529,13256,16425.4,20910.7,6982,16532.3,21109.1,1939,1986,5104,2810,skewed_1
65530,13256,16425.4,20910.7,19699,16595.7,21151.9,3404,3695,6139,6530,skewed_1
65533,13256,16425.4,20910.7,4186,16717,20868.1,1730,1575,5333,2314,skewed_2
65529,13256,16425.4,20910.7,4028,27492.2,27488.7,786,2483,2189,763,vector
65529,13256,16425.4,20910.7,226,17309.6,21519.2,400,430,469,206,vector
65529,13256,16425.4,20910.7,233,16972.6,20952.4,415,320,362,188,vector
65529,13256,16425.4,20910.7,9934,13142.5,13167.3,692,5247,4978,1607,skewed_1
65529,13256,16425.4,20910.7,278,16119.2,20537,430,330,447,172,vector
65529,13256,16425.4,20910.7,11844,16628.1,21155.6,3222,2945,10805,3481,skewed_2
65534,13256,16425.4,20910.7,17083,16625.2,21188.3,3888,5609,13469,3566,vector
65532,13256,16425.4,20910.7,29794,16517.7,20978,7869,4190,14461,4755,skewed_2
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,8905,5901,16990,86942,skewed_2
65534,13256,16425.4,20910.7,55919,16789.3,21222.2,5798,6545,8814,9612,skewed_1
65535,13256,16425.4,20910.7,203042,16553.7,21025.7,10733,14478,15315,16573,skewed_1
65531,13256,16425.4,20910.7,3394,19531.3,22374.8,7845,1764,4405,2421,skewed_2
65534,13256,16425.4,20910.7,42800,16567.8,21074.9,11490,4389,6779,8071,skewed_2
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,8111,5892,17698,87123,skewed_2
65529,13256,16425.4,20910.7,14588,17150.3,20380.9,4568,8379,11115,3443,vector
65529,13256,16425.4,20910.7,451,17048,21430.6,501,611,837,166,vector
65531,13256,16425.4,20910.7,29803,16721.3,21094.2,5194,5451,7612,8585,skewed_1
65534,13256,16425.4,20910.7,55919,16789.3,21222.2,5756,6451,8767,9996,skewed_1
65534,13256,16425.4,20910.7,88039,16640.4,21065.3,7765,7446,20996,16252,skewed_2
65535,13256,16425.4,20910.7,1434753,16577.3,21012.1,19574,31686,33832,10910,vector
65529,13256,16425.4,20910.7,278,17093.7,21678.7,366,673,478,274,vector
65535,13256,16425.4,20910.7,96613,16755.1,21130.1,8328,5226,17760,16808,skewed_2
65529,13256,16425.4,20910.7,246,16996.9,21074.6,364,653,471,170,vector
65531,13256,16425.4,20910.7,39873,16656.6,21057,5606,12020,23078,6776,skewed_1
65530,13256,16425.4,20910.7,8178,16635.4,21038.6,6817,2738,8393,3264,skewed_2
65529,13256,16425.4,20910.7,25578,16662.7,21009.7,4470,15577,14660,5547,skewed_1
65529,13256,16425.4,20910.7,703,16302,20772.4,574,587,851,204,vector
65534,13256,16425.4,20910.7,197564,16629.1,21001.3,11147,7196,10070,11845,skewed_2
65535,13256,16425.4,20910.7,530445,16886.4,21253.8,9007,5861,15981,84988,skewed_2
65529,13256,16425.4,20910.7,175,17951.1,21771.2,342,341,375,342,skewed_2
65529,13256,16425.4,20910.7,4898,16903.4,21166,1721,2057,3934,2398,skewed_1
